Date,Sale Price
10/15/2015,150000
10/13/2015,238000
7/15/2015,150000
5/27/2015,250000
5/27/2015,235000
5/8/2015,250000
5/8/2015,150000
3/25/2015,270000
3/25/2015,270000
3/25/2015,270000
3/20/2015,290000
3/20/2015,290000
1/28/2015,254000
1/14/2015,150000
11/21/2014,300000
11/21/2014,293000
11/21/2014,300000
9/16/2014,310000
9/11/2014,357000
9/11/2014,357000
8/21/2014,270000
8/21/2014,310000
8/21/2014,280000
8/21/2014,305000
7/17/2014,250000
6/25/2014,322250
6/25/2014,357000
6/25/2014,357000
6/18/2014,279449
5/29/2014,135000
5/21/2014,290000
5/14/2014,325000
5/14/2014,320000
5/13/2014,325000
5/8/2014,315000
4/30/2014,325000
4/30/2014,325000
4/29/2014,290000
4/29/2014,300000
4/23/2014,357000
4/23/2014,357000
4/23/2014,357000
4/23/2014,357000
4/9/2014,370000
4/9/2014,325000
4/9/2014,335000
4/8/2014,375000
4/8/2014,375000
3/28/2014,325000
3/28/2014,325000
3/18/2014,325000
3/18/2014,320000
3/18/2014,320000
3/18/2014,320000
3/18/2014,320000
3/11/2014,357000
3/11/2014,357000
3/11/2014,357000
3/5/2014,325000
2/27/2014,357000
2/27/2014,357000
2/27/2014,357000
2/27/2014,357000
2/26/2014,325000
2/26/2014,325000
2/26/2014,325000
2/26/2014,325000
2/18/2014,357000
2/18/2014,357000
2/14/2014,325000
2/14/2014,335000
2/13/2014,330000
2/13/2014,325000
2/13/2014,330000
2/13/2014,330000
2/13/2014,330000
2/11/2014,357000
2/11/2014,357000
2/11/2014,357000
2/5/2014,360000
2/5/2014,360000
2/5/2014,360000
2/5/2014,360000
2/5/2014,360000
2/5/2014,360000
2/5/2014,360000
2/5/2014,330000
2/5/2014,330000
1/31/2014,290000
1/31/2014,290000
1/30/2014,370000
1/30/2014,326000
1/30/2014,322000
1/30/2014,322000
1/30/2014,322000
1/28/2014,310000
1/28/2014,310000
1/28/2014,310000
1/28/2014,310000
1/23/2014,325000
1/23/2014,325000
1/21/2014,325000
1/21/2014,320000
1/9/2014,205000
1/9/2014,325000
12/27/2013,331000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/27/2013,364000
12/26/2013,325000
12/26/2013,325000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/26/2013,357000
12/20/2013,325000
12/20/2013,325000
12/20/2013,325000
12/20/2013,325000
12/20/2013,325000
12/20/2013,325000
12/20/2013,325000
12/20/2013,320000
12/19/2013,350000
12/19/2013,322000
12/18/2013,370000
12/18/2013,330000
12/18/2013,330000
12/18/2013,330000
12/17/2013,357000
12/17/2013,357000
12/17/2013,357000
12/17/2013,357000
12/10/2013,323000
12/10/2013,323000
12/5/2013,325000
12/5/2013,325000
12/4/2013,335000
12/4/2013,325000
12/3/2013,300000
12/3/2013,360000
12/2/2013,370000
12/2/2013,357000
12/2/2013,357000
11/26/2013,330000
11/26/2013,330000
11/26/2013,360000
11/26/2013,345000
11/26/2013,357000
11/26/2013,357000
11/26/2013,357000
11/26/2013,357000
11/26/2013,357000
11/26/2013,357000
11/26/2013,357000
11/26/2013,357000
11/25/2013,330000
11/20/2013,325000
11/19/2013,370000
11/14/2013,357000
11/7/2013,327000
11/7/2013,325000
11/7/2013,325000
11/7/2013,325000
11/4/2013,330000
10/31/2013,370000
10/24/2013,325000
10/24/2013,325000
10/24/2013,335000
10/24/2013,325000
10/24/2013,325000
10/23/2013,335000
10/22/2013,320000
10/17/2013,330000
10/15/2013,330000
10/15/2013,328000
10/15/2013,331000
10/10/2013,320000
10/10/2013,331000
10/2/2013,275000
10/2/2013,275000
10/2/2013,357000
10/2/2013,357000
10/2/2013,357000
10/2/2013,357000
10/2/2013,357000
10/2/2013,357000
10/2/2013,357000
10/2/2013,357000
10/2/2013,357000
10/1/2013,330000
10/1/2013,330000
10/1/2013,330000
10/1/2013,330000
10/1/2013,330000
9/26/2013,370000
9/10/2013,340000
9/10/2013,340000
9/5/2013,330000
9/5/2013,330000
9/5/2013,330000
9/5/2013,330000
9/5/2013,325000
9/5/2013,325000
8/30/2013,330000
8/30/2013,340000
8/30/2013,327500
8/29/2013,335000
8/29/2013,357000
8/29/2013,357000
8/29/2013,357000
8/29/2013,357000
8/22/2013,357000
8/22/2013,357000
8/22/2013,357000
8/22/2013,357000
8/22/2013,357000
8/22/2013,357000
8/22/2013,357000
8/22/2013,357000
8/22/2013,340000
8/22/2013,340000
8/22/2013,325000
8/22/2013,325000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/16/2013,357000
8/15/2013,370000
8/8/2013,325000
8/8/2013,325000
8/8/2013,370000
8/8/2013,350000
8/1/2013,325000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/31/2013,357000
7/29/2013,357000
7/29/2013,357000
7/29/2013,357000
7/26/2013,330000
7/26/2013,330000
7/26/2013,330000
7/26/2013,330000
7/25/2013,327600
7/11/2013,180500
7/9/2013,362500
6/24/2013,300000
6/20/2013,332000
6/19/2013,350000
5/31/2013,337000
5/31/2013,335000
5/31/2013,335000
5/31/2013,285000
5/31/2013,285000
5/31/2013,285000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,365000
5/30/2013,370000
5/30/2013,340000
5/30/2013,350000
5/29/2013,365000
5/29/2013,360000
5/20/2013,370000
5/16/2013,342500
5/16/2013,342000
5/15/2013,350000
5/15/2013,330000
5/8/2013,355000
5/1/2013,350000
5/1/2013,350000
4/30/2013,370000
4/29/2013,330000
4/26/2013,355000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/24/2013,360000
4/18/2013,320000
4/17/2013,370000
4/17/2013,370000
4/17/2013,355000
4/11/2013,370000
4/11/2013,370000
4/10/2013,330000
4/10/2013,335000
4/10/2013,325000
4/10/2013,325000
4/10/2013,325000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,325000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/28/2013,357000
3/22/2013,355000
3/6/2013,360000
3/1/2013,360000
3/1/2013,360000
3/1/2013,360000
3/1/2013,370000
3/1/2013,370000
3/1/2013,370000
3/1/2013,370000
3/1/2013,360000
2/28/2013,350000
2/28/2013,350000
2/28/2013,348000
2/25/2013,351000
2/25/2013,315000
2/13/2013,370000
2/11/2013,330000
2/6/2013,360000
2/6/2013,370000
2/4/2013,370000
2/4/2013,370000
2/4/2013,370000
2/4/2013,370000
1/31/2013,350000
1/31/2013,340000
1/30/2013,340000
1/25/2013,295000
1/23/2013,350000
1/23/2013,370000
1/22/2013,50000
1/9/2013,360000
1/9/2013,360000
1/8/2013,360000
1/8/2013,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,360000
12/28/2012,325500
12/28/2012,325500
12/28/2012,325500
12/28/2012,325500
12/28/2012,348000
12/28/2012,348000
12/28/2012,365000
12/28/2012,365000
12/28/2012,365000
12/27/2012,183000
12/27/2012,183000
12/27/2012,183000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,348000
12/24/2012,325500
12/24/2012,325500
12/24/2012,325500
12/21/2012,307230
12/21/2012,307230
12/21/2012,307230
12/18/2012,360000
12/18/2012,360000
12/18/2012,360000
